EPA AQS ID,Country Code,Data Source,EPA Region,Elevation,GMT Offset Amount (hours),Latitude,Local Time at Monitor,Longitude,OZONE,Ozone & PM AQI,Ozone & PM AQI (For Labeling),Ozone & PM AQI (For Sorting),Ozone AQI,Ozone AQI (For Labeling),Ozone AQI (For Sorting),Ozone Measured at Site,Ozone Unit of Measure,PM10,PM10 AQI,PM10 AQI (For Labeling),PM10 AQI (For Sorting),PM10 Measured at Site,PM10 Unit of Measure,PM2.5,PM2.5 AQI,PM2.5 AQI (For Labeling),PM2.5 AQI (For Sorting),PM2.5 Measured at Site,PM2.5 Unit of Measure,PM2.5 & PM10 AQI,PM2.5 & PM10 AQI (For Labeling),PM2.5 & PM10 AQI (For Sorting),Reporting Area(s),Site Name,State Name,Site Operational Status,ValidTime,ObjectId,MonitorType,x,y
060595001,US,South Coast AQMD,R9,26.5,-8,33.925062,2025-05-02 01:00:00 GMT-8,-117.952586,39,39,39,39,39,39,39,1,PPB,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Los Angeles Metro and Inland Orange Co.|North Orange CO,La Habra,CA,Active,5/2/2025 9:00:00 AM,474959130,Permanent,-13130421.8112698,4018744.11665698
060610002,US,Placer County APCD,R9,0,-8,38.937801,2025-05-02 01:00:00 GMT-8,-121.103897,,,ND,-999,,ND,-999,1,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,Auburn,Auburn,CA,Inactive,5/2/2025 9:00:00 AM,474959131,Permanent,-13481224.1471211,4712766.01156187
060610004,US,Placer County APCD,R9,0,-8,39.1003,2025-05-02 01:00:00 GMT-8,-120.9528,31,40,40,40,31,31,31,1,PPB,,,ND,-999,0,,7,40,40,40,1,UG/M3,40,40,40,Colfax,Colfax,CA,Active,5/2/2025 9:00:00 AM,474959132,Permanent,-13464404.1060207,4736048.88722125
060610006,US,California Air Resources Board,R9,0,-8,38.74643,2025-05-02 01:00:00 GMT-8,-121.26498,38,51,51,51,34,34,34,1,PPB,14.0,16.0,16,16,1,UG/M3,9.8,51,51,51,1,UG/M3,51,51,51,Roseville-Rocklin,Roseville - N.Sunrise/Douglas,CA,Active,5/2/2025 9:00:00 AM,474959133,Permanent,-13499155.8246565,4685414.65768068
060611004,US,Placer County APCD,R9,1917.2,-8,39.166,2025-05-02 01:00:00 GMT-8,-120.1488,35,32,32,32,29,29,29,1,PPB,,,ND,-999,0,,3,32,32,32,1,UG/M3,32,32,32,South Lake Tahoe|Tahoe City area,Tahoe City,CA,Active,5/2/2025 9:00:00 AM,474959134,Permanent,-13374903.2354229,4745477.61870501
060612001,US,Placer County APCD,R9,50.9,-8,38.89,2025-05-02 01:00:00 GMT-8,-121.3,,,ND,-999,,ND,-999,1,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,Lincoln,Lincoln,CA,Inactive,5/2/2025 9:00:00 AM,474959135,Permanent,-13503054.2332241,4705927.24223031
060631006,US,Northern Sierra AQMD,R9,0,-8,39.9395,2025-05-02 01:00:00 GMT-8,-120.9443,,6,6,6,,ND,-999,0,,,,ND,-999,0,,1,6,6,6,1,UG/M3,6,6,6,Quincy,Quincy,CA,Active,5/2/2025 9:00:00 AM,474959136,Permanent,-13463457.8903489,4857154.47528469
060631007,US,Northern Sierra AQMD,R9,0,-8,40.301899,2025-05-02 01:00:00 GMT-8,-121.235001,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,Chester,Chester BAM,CA,Active,5/2/2025 9:00:00 AM,474959137,Permanent,-13495818.577642,4909910.89469016
060631010,US,Northern Sierra AQMD,R9,0,-8,39.8134,2025-05-02 01:00:00 GMT-8,-120.4707,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,Portola,Portola,CA,Active,5/2/2025 9:00:00 AM,474959138,Permanent,-13410736.9795092,4838863.01203095
060639901,US,Northern Sierra AQMD,R9,0,-8,39.9369,2025-05-02 01:00:00 GMT-8,-120.9478,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Quincy BAM,CA,Inactive,5/2/2025 9:00:00 AM,474959139,Permanent,-13463847.5085667,4856776.99179746
060650004,US,South Coast AQMD,R9,0,-8,33.971699,2025-05-02 01:00:00 GMT-8,-117.530296,,,ND,-999,,ND,-999,1,,,,ND,-999,1,,,,ND,-999,0,,,ND,-999,Riverside Co. Metro|San Bernardino Co. Metro|Norco and Corona|Metro Riverside CO,Mira Loma - High School,CA,Inactive,5/2/2025 9:00:00 AM,474959140,Permanent,-13083412.7035027,4025002.52604084
060650012,US,South Coast AQMD,R9,0,-8,33.920758,2025-05-02 01:00:00 GMT-8,-116.858419,36,58,58,58,33,33,33,1,PPB,,,ND,-999,0,,17.6,58,58,58,1,UG/M3,58,58,58,Riverside Co. Metro|Banning,Banning - South Hathaway Street,CA,Active,5/2/2025 9:00:00 AM,474959143,Permanent,-13008619.697987,4018166.71809883
060650016,US,South Coast AQMD,R9,453.2,-8,33.583099,2025-05-02 01:00:00 GMT-8,-117.072197,37,34,34,34,34,34,34,1,PPB,,,ND,-999,0,,4.2,27,27,27,1,UG/M3,27,27,27,Perris Vly|Temecula Vly|Anza Vly|Hemet and San Jacinto,Temecula (Lake Skinner),CA,Active,5/2/2025 9:00:00 AM,474959144,Permanent,-13032417.3560898,3972958.84067995
060651003,US,South Coast AQMD,R9,0,-8,33.741699,2025-05-02 01:00:00 GMT-8,-117.958099,,,ND,-999,,ND,-999,0,,,,ND,-999,1,,,,ND,-999,1,,,ND,-999,Palm Springs-Coachella Valley|Metro Riverside CO|Perris Vly|Metro Riverside CO-2,Riverside - Magnolia,CA,Inactive,5/2/2025 9:00:00 AM,474959145,Permanent,-13131035.5156226,3994171.02217741
060652002,US,South Coast AQMD,R9,-1.8,-8,33.708566,2025-05-02 01:00:00 GMT-8,-116.215394,,,ND,-999,,ND,-999,1,,,,ND,-999,1,,,,ND,-999,1,,,ND,-999,Palm Springs-Coachella Valley|Antelope Vly|Coachella Vly,Indio - Jackson Street,CA,Inactive,5/2/2025 9:00:00 AM,474959147,Permanent,-12937038.4824197,3989736.36845439
060652005,US,South Coast AQMD,R9,0,-8,33.572019,2025-05-02 01:00:00 GMT-8,-116.063823,,39,39,39,,ND,-999,0,,32.0,39.0,39,39,1,UG/M3,,,ND,-999,0,,39,39,39,Coachella Vly,Saul Martinez,CA,Active,5/2/2025 9:00:00 AM,474959148,Permanent,-12920165.6758806,3971478.38957206
060655001,US,South Coast AQMD,R9,54,-8,33.852605,2025-05-02 01:00:00 GMT-8,-116.540965,43,38,38,38,38,38,38,1,PPB,19.0,19.0,19,19,1,UG/M3,,,ND,-999,0,,19,19,19,Palm Springs-Coachella Valley|Coachella Vly,Palm Springs - Fire Station,CA,Active,5/2/2025 9:00:00 AM,474959149,Permanent,-12973280.8803567,4009027.60826455
060656001,US,South Coast AQMD,R9,135.4,-8,33.789331,2025-05-02 01:00:00 GMT-8,-117.227639,,,ND,-999,,ND,-999,1,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Riverside Co. Metro|Perris Vly|Hemet and San Jacinto,Perris,CA,Inactive,5/2/2025 9:00:00 AM,474959150,Permanent,-13049721.0803777,4000549.2829662
060658001,US,South Coast AQMD,R9,78.7,-8,33.999449,2025-05-02 01:00:00 GMT-8,-117.415831,38,54,54,54,35,35,35,1,PPB,21.0,19.0,19,19,1,UG/M3,10.2,54,54,54,1,UG/M3,54,54,54,Riverside Co. Metro|Norco and Corona|Metro Riverside CO|E San Bernardino,Riverside - Rubidoux,CA,Active,5/2/2025 9:00:00 AM,474959151,Permanent,-13070670.5179891,4028728.0405365
060658005,US,South Coast AQMD,R9,230.9,-8,33.996387,2025-05-02 01:00:00 GMT-8,-117.4925,39,59,59,59,36,36,36,1,PPB,21.0,19.0,19,19,1,UG/M3,17.4,59,59,59,1,UG/M3,59,59,59,Norco and Corona|Metro Riverside CO,Mira Loma - Van Buren,CA,Active,5/2/2025 9:00:00 AM,474959152,Permanent,-13079205.2720287,4028316.89882462
060659001,US,South Coast AQMD,R9,134.2,-8,33.676535,2025-05-02 01:00:00 GMT-8,-117.331027,34,34,34,34,34,34,34,1,PPB,11.0,10.0,10,10,1,UG/M3,3.7,25,25,25,1,UG/M3,25,25,25,Riverside Co. Metro|Lake Elsinore|Temecula Vly|Anza Vly,Lake Elsinore - W. Flint Street,CA,Active,5/2/2025 9:00:00 AM,474959153,Permanent,-13061230.1798918,3985450.83698737
060659003,US,California Air Resources Board,R9,25.3,-8,33.61235,2025-05-02 01:00:00 GMT-8,-114.60209,33,31,31,31,31,31,31,1,PPB,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,Blythe,CA,Active,5/2/2025 9:00:00 AM,474959154,Permanent,-12757446.3026449,3976868.11855326
060670002,US,Sacramento Metro. AQMD,R9,27.5,-8,38.71209,2025-05-02 01:00:00 GMT-8,-121.38109,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,North Highlands,Antelope - North Highlands,CA,Inactive,5/2/2025 9:00:00 AM,474959155,Permanent,-13512081.1307325,4680514.44293916
